Book ID,Sale Date,ISBN,Discount,ItemID,OrderID,First Name,Last Name,Birthday,Country of Residence,Hrs Writing per Day,Title,AuthID,Format,PubID,Publication Date,Pages,Print Run Size (k),Price,Publishing House,City,State,Country,Year Established,Marketing Spend,Number of Awards Won (avg only),Number of Months Checked Out,Total Checkouts,Genre,SeriesID,Volume Number,Staff Comment,Series Name,Planned Volumes,Book Tour Events,Average Rating,Number of Reviewers,Number of Reviews
ZT703,02/01/2193,989-28-79-05670-4,,107020-75-649,107020-23,Burton,Malamud,18/01/2145,Brazil,6,Zero over Twelve,BM856,Mass market paperback,ESP,20/11/2187,338,26,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,576,Mystery,,,,,,,3.986920333,841,841
ZT703,02/01/2193,989-28-79-05670-4,,107020-16-5025,107020-24,Burton,Malamud,18/01/2145,Brazil,6,Zero over Twelve,BM856,Mass market paperback,ESP,20/11/2187,338,26,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,576,Mystery,,,,,,,3.986920333,841,841
NR695,02/01/2193,989-28-79-69807-2,,107020-1-6590,107020-25,Carolyn,Segal,24/09/2133,United States,7,9803 North Millworks Road,CS190,Mass market paperback,ESP,24/09/2182,414,12,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,469,Mystery,IR-ESP,1,,Inspector Ryeslton,4,19,4.089084065,797,797
WG715,02/01/2193,989-28-229-6632-6,0.1,107020-80-960,107020-26,Lynne,Danticat,19/08/2155,New Zealand,8,Whither Thou Goest,LD375,Mass market paperback,SSC,14/02/2183,423,16,9.5,Sound & Seas Co.,Dunedin,Otago,New Zealand,2153,151000,,12,510,Romance,EL-SSC,3,Book Three of Esme's Ladies,Esme's Ladies,7,15,4.144130758,1346,1346
TS869,02/01/2193,989-28-229-1404-4,,107020-73-9433,107020-27,Lynne,Danticat,19/08/2155,New Zealand,8,The Seawitch Sings,LD375,Mass market paperback,SSC,11/12/2181,381,11,9.5,Sound & Seas Co.,Dunedin,Otago,New Zealand,2153,151000,,12,428,Romance,EL-SSC,1,Book One of Esme's Ladies,Esme's Ladies,7,15,4.196044212,1719,1719
TS869,02/01/2193,989-28-229-1404-4,,107020-24-5674,107020-28,Lynne,Danticat,19/08/2155,New Zealand,8,The Seawitch Sings,LD375,Mass market paperback,SSC,11/12/2181,381,11,9.5,Sound & Seas Co.,Dunedin,Otago,New Zealand,2153,151000,,12,428,Romance,EL-SSC,1,Book One of Esme's Ladies,Esme's Ladies,7,15,4.196044212,1719,1719
TM925,02/01/2193,989-28-79-13801-1,,107020-12-8333,107020-29,Bianca,Thompson,28/01/2150,United States,5,The Mallemaroking,BT132,Mass market paperback,ESP,19/07/2185,672,71,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,2,12,1243,SciFi/Fantasy,MM-ESP,1,"An epic on the scale of Game of Thrones and The Lord of the Rings. The Mallemaroking is a book that cannot be defined, only experienced.",The Mallemaroking Saga,3,32,4.659652814,1901,1901
HP265,02/01/2193,989-28-3705-966-2,,107020-7-2469,107020-3,Malin,Wolff,31/01/2141,Hong Kong,6,Heliotrope Pajamas,MW974,Paperback,CHP,02/05/2186,31,25,10.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,909,Childrens,,,"Wilberforce isn't sure about bedtime in a new bed, in a new house, in a new town. But when his grandmother brings him a pair of heliotrope pajamas, Wilberforce finds out bedtime can be downright magical.",,,,4.543650794,1764,1764
PP866,02/01/2193,989-28-79-23023-4,,107020-96-5059,107020-30,Bianca,Thompson,28/01/2150,United States,5,Portmeirion,BT132,Mass market paperback,ESP,21/10/2188,792,78,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,1,12,547,SciFi/Fantasy,MM-ESP,2,No one saw it coming. No one could escape the effects. No one could imagine what would come next.,The Mallemaroking Saga,3,32,4.423809524,1890,1890
TM925,02/01/2193,989-28-79-13801-1,,107020-43-9356,107020-31,Bianca,Thompson,28/01/2150,United States,5,The Mallemaroking,BT132,Mass market paperback,ESP,19/07/2185,672,71,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,2,12,1243,SciFi/Fantasy,MM-ESP,1,"An epic on the scale of Game of Thrones and The Lord of the Rings. The Mallemaroking is a book that cannot be defined, only experienced.",The Mallemaroking Saga,3,32,4.659652814,1901,1901
ST862,02/01/2193,989-28-79-36485-4,,107020-32-5821,107020-32,Robert,Plimpton,11/11/2160,Canada,13,She Also Tottered,RP438,Trade paperback,ESP,14/09/2190,520,15,12.5,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,151,SciFi/Fantasy,,,,,,,4.088566828,621,621
TM925,02/01/2193,989-28-79-91028-0,,107020-43-9068,107020-33,Bianca,Thompson,28/01/2150,United States,5,The Mallemaroking,BT132,Trade paperback,ESP,14/04/2186,784,50,12.5,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,2,12,1243,SciFi/Fantasy,MM-ESP,1,"An epic on the scale of Game of Thrones and The Lord of the Rings. The Mallemaroking is a book that cannot be defined, only experienced.",The Mallemaroking Saga,3,32,4.659652814,1901,1901
PP866,02/01/2193,989-28-79-23023-4,,107020-26-4804,107020-34,Bianca,Thompson,28/01/2150,United States,5,Portmeirion,BT132,Mass market paperback,ESP,21/10/2188,792,78,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,1,12,547,SciFi/Fantasy,MM-ESP,2,No one saw it coming. No one could escape the effects. No one could imagine what would come next.,The Mallemaroking Saga,3,32,4.423809524,1890,1890
PP866,02/01/2193,989-28-79-23023-4,,107020-31-393,107020-35,Bianca,Thompson,28/01/2150,United States,5,Portmeirion,BT132,Mass market paperback,ESP,21/10/2188,792,78,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,1,12,547,SciFi/Fantasy,MM-ESP,2,No one saw it coming. No one could escape the effects. No one could imagine what would come next.,The Mallemaroking Saga,3,32,4.423809524,1890,1890
PP866,02/01/2193,989-28-79-23023-4,,107020-99-281,107020-36,Bianca,Thompson,28/01/2150,United States,5,Portmeirion,BT132,Mass market paperback,ESP,21/10/2188,792,78,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,1,12,547,SciFi/Fantasy,MM-ESP,2,No one saw it coming. No one could escape the effects. No one could imagine what would come next.,The Mallemaroking Saga,3,32,4.423809524,1890,1890
CH391,02/01/2193,989-28-3705-492-6,,107020-59-4445,107020-37,Charles,Fenimore,18/03/2120,Norway,7,Can I Be Honest?,CF829,Trade paperback,CHP,24/04/2188,404,7,11.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,,12,97,Young Adult,,,,,,,4.372400756,529,529
AK974,02/01/2193,989-28-3705-222-9,,107020-48-2656,107020-38,Ward,Haigh,07/10/2153,Brazil,7,Adventures of Kaya,WH901,Trade paperback,CHP,23/07/2182,256,35,11.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,,12,464,Young Adult,,,,,,,4.421885300,1517,1517
BB194,02/01/2193,989-28-79-68089-3,0.05,107020-1-4349,107020-39,Arthur,McCrumb,13/03/2148,New Zealand,3,Ballinby Boys,AM329,Hardcover,ESP,18/05/2179,401,10,21.5,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,1,12,328,SciFi/Fantasy,,,What? Disaster. Where? The stars. When? Now. Who? The Ballinby Boys. How? You'll have to turn the page to find out…,,,,3.740395809,859,859
TH296,02/01/2193,989-28-79-82125-8,,107020-78-6993,107020-39,Carolyn,Segal,24/09/2133,United States,7,The Winchcombe Railway Museum Heist,CS190,Hardcover,ESP,10/02/2184,293,10,22.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,399,Mystery,IR-ESP,2,,Inspector Ryeslton,4,19,4.034682081,692,692
AD222,02/01/2193,989-28-3705-987-7,,107020-4-9809,107020-4,Bernard,Hopf,27/11/2122,United States,1,Alanna Saves the Day,BH149,Trade paperback,CHP,22/09/2185,188,10,8.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,384,Childrens,,,"Alanna didn't expect this Tuesday to be any different than the Tuesday before, and the Tuesday before that. She was wrong. Can she make it to Wednesday?",,,,4.018008475,944,944
LB510,02/01/2193,989-28-229-5891-8,,107020-15-4933,107020-40,Lynne,Danticat,19/08/2155,New Zealand,8,Lace and Brandy,LD375,Mass market paperback,SSC,25/07/2186,380,25,9.5,Sound & Seas Co.,Dunedin,Otago,New Zealand,2153,151000,,12,207,Romance,EL-SSC,5,Book Five of Esme's Ladies,Esme's Ladies,7,15,4.453271028,1284,1284
TM925,02/01/2193,989-28-79-13801-1,,107020-38-9642,107020-40,Bianca,Thompson,28/01/2150,United States,5,The Mallemaroking,BT132,Mass market paperback,ESP,19/07/2185,672,71,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,2,12,1243,SciFi/Fantasy,MM-ESP,1,"An epic on the scale of Game of Thrones and The Lord of the Rings. The Mallemaroking is a book that cannot be defined, only experienced.",The Mallemaroking Saga,3,32,4.659652814,1901,1901
HP265,02/01/2193,989-28-3705-007-2,,107020-21-5668,107020-41,Malin,Wolff,31/01/2141,Hong Kong,6,Heliotrope Pajamas,MW974,Board book,CHP,03/06/2188,16,55,5.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,909,Childrens,,,"Wilberforce isn't sure about bedtime in a new bed, in a new house, in a new town. But when his grandmother brings him a pair of heliotrope pajamas, Wilberforce finds out bedtime can be downright magical.",,,,4.543650794,1764,1764
TM925,02/01/2193,989-28-79-13801-1,,107020-88-2782,107020-41,Bianca,Thompson,28/01/2150,United States,5,The Mallemaroking,BT132,Mass market paperback,ESP,19/07/2185,672,71,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,2,12,1243,SciFi/Fantasy,MM-ESP,1,"An epic on the scale of Game of Thrones and The Lord of the Rings. The Mallemaroking is a book that cannot be defined, only experienced.",The Mallemaroking Saga,3,32,4.659652814,1901,1901
AK974,02/01/2193,989-28-3705-222-9,,107020-11-5263,107020-42,Ward,Haigh,07/10/2153,Brazil,7,Adventures of Kaya,WH901,Trade paperback,CHP,23/07/2182,256,35,11.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,,12,464,Young Adult,,,,,,,4.421885300,1517,1517
BF374,02/01/2193,989-28-3705-138-3,,107020-90-3176,107020-42,Hillary,Barnhardt,07/03/2154,New Zealand,4,Banana Slug and Xyr Friends,HB302,Board book,CHP,27/05/2188,12,18,6.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,,12,247,Childrens,BS-CHP,4,,Banana Slug,5,24,4.094182825,1083,1083
HP265,02/01/2193,989-28-3705-007-2,,107020-35-6051,107020-43,Malin,Wolff,31/01/2141,Hong Kong,6,Heliotrope Pajamas,MW974,Board book,CHP,03/06/2188,16,55,5.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,909,Childrens,,,"Wilberforce isn't sure about bedtime in a new bed, in a new house, in a new town. But when his grandmother brings him a pair of heliotrope pajamas, Wilberforce finds out bedtime can be downright magical.",,,,4.543650794,1764,1764
AD222,02/01/2193,989-28-3705-987-7,,107020-41-7081,107020-43,Bernard,Hopf,27/11/2122,United States,1,Alanna Saves the Day,BH149,Trade paperback,CHP,22/09/2185,188,10,8.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,384,Childrens,,,"Alanna didn't expect this Tuesday to be any different than the Tuesday before, and the Tuesday before that. She was wrong. Can she make it to Wednesday?",,,,4.018008475,944,944
AK974,02/01/2193,989-28-3705-222-9,,107020-96-7633,107020-43,Ward,Haigh,07/10/2153,Brazil,7,Adventures of Kaya,WH901,Trade paperback,CHP,23/07/2182,256,35,11.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,,12,464,Young Adult,,,,,,,4.421885300,1517,1517
HP265,02/01/2193,989-28-3705-966-2,,107020-83-1238,107020-44,Malin,Wolff,31/01/2141,Hong Kong,6,Heliotrope Pajamas,MW974,Paperback,CHP,02/05/2186,31,25,10.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,909,Childrens,,,"Wilberforce isn't sure about bedtime in a new bed, in a new house, in a new town. But when his grandmother brings him a pair of heliotrope pajamas, Wilberforce finds out bedtime can be downright magical.",,,,4.543650794,1764,1764
AD222,02/01/2193,989-28-3705-987-7,,107020-94-1392,107020-44,Bernard,Hopf,27/11/2122,United States,1,Alanna Saves the Day,BH149,Trade paperback,CHP,22/09/2185,188,10,8.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,384,Childrens,,,"Alanna didn't expect this Tuesday to be any different than the Tuesday before, and the Tuesday before that. She was wrong. Can she make it to Wednesday?",,,,4.018008475,944,944
NR695,02/01/2193,989-28-79-82749-6,,107020-34-6799,107020-45,Carolyn,Segal,24/09/2133,United States,7,9803 North Millworks Road,CS190,Hardcover,ESP,10/07/2181,384,5,22.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,469,Mystery,IR-ESP,1,,Inspector Ryeslton,4,19,4.089084065,797,797
TM925,02/01/2193,989-28-79-13801-1,,107020-83-1442,107020-45,Bianca,Thompson,28/01/2150,United States,5,The Mallemaroking,BT132,Mass market paperback,ESP,19/07/2185,672,71,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,2,12,1243,SciFi/Fantasy,MM-ESP,1,"An epic on the scale of Game of Thrones and The Lord of the Rings. The Mallemaroking is a book that cannot be defined, only experienced.",The Mallemaroking Saga,3,32,4.659652814,1901,1901
KA663,02/01/2193,989-28-79-07610-8,,107020-84-9479,107020-45,Elmer,Komroff,11/07/2129,Norway,6,Kalakalal Avenue,EK605,Hardcover,ESP,15/05/2187,432,25,27.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,155,Fiction,,,,,,,4.332367150,1035,1035
ZT703,02/01/2193,989-28-79-05670-4,,107020-12-9072,107020-46,Burton,Malamud,18/01/2145,Brazil,6,Zero over Twelve,BM856,Mass market paperback,ESP,20/11/2187,338,26,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,576,Mystery,,,,,,,3.986920333,841,841
TP887,02/01/2193,989-28-79-11297-4,,107020-28-3922,107020-46,David,Beam,26/02/2157,United States,5.13,the life and times of an utterly inconsequential person,DB605,Trade paperback,ESP,25/08/2192,1296,30,13.46,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,1,12,210,Fiction,,,,,,,3.195032871,1369,1369
NR695,02/01/2193,989-28-79-69807-2,,107020-44-1930,107020-46,Carolyn,Segal,24/09/2133,United States,7,9803 North Millworks Road,CS190,Mass market paperback,ESP,24/09/2182,414,12,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,469,Mystery,IR-ESP,1,,Inspector Ryeslton,4,19,4.089084065,797,797
AD222,02/01/2193,989-28-3705-987-7,,107020-14-6317,107020-5,Bernard,Hopf,27/11/2122,United States,1,Alanna Saves the Day,BH149,Trade paperback,CHP,22/09/2185,188,10,8.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,384,Childrens,,,"Alanna didn't expect this Tuesday to be any different than the Tuesday before, and the Tuesday before that. She was wrong. Can she make it to Wednesday?",,,,4.018008475,944,944
HP265,02/01/2193,989-28-3705-007-2,,107020-56-6967,107020-6,Malin,Wolff,31/01/2141,Hong Kong,6,Heliotrope Pajamas,MW974,Board book,CHP,03/06/2188,16,55,5.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,909,Childrens,,,"Wilberforce isn't sure about bedtime in a new bed, in a new house, in a new town. But when his grandmother brings him a pair of heliotrope pajamas, Wilberforce finds out bedtime can be downright magical.",,,,4.543650794,1764,1764
HP265,02/01/2193,989-28-3705-007-2,,107020-94-7785,107020-7,Malin,Wolff,31/01/2141,Hong Kong,6,Heliotrope Pajamas,MW974,Board book,CHP,03/06/2188,16,55,5.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,909,Childrens,,,"Wilberforce isn't sure about bedtime in a new bed, in a new house, in a new town. But when his grandmother brings him a pair of heliotrope pajamas, Wilberforce finds out bedtime can be downright magical.",,,,4.543650794,1764,1764
KA663,02/01/2193,989-28-79-21991-8,,107020-40-7921,107020-8,Elmer,Komroff,11/07/2129,Norway,6,Kalakalal Avenue,EK605,Mass market paperback,ESP,25/11/2188,341,45,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,155,Fiction,,,,,,,4.332367150,1035,1035
NB483,02/01/2193,989-28-79-30536-9,,107020-26-5296,107020-9,Gloria,Green,19/09/2156,Hong Kong,8,"Not to Gossip, But",GG800,Mass market paperback,ESP,26/07/2181,311,22,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,125,Fiction,MT-ESP,2,"""I never thought I'd enjoy a trashy, light chick-lit series. But here I am, and Green is rapidly becoming my favorite author!""",Meddler Trilogy,3,17,3.941896024,981,981
TC188,02/01/2193,989-28-79-82197-5,0.15,107020-1-1296,107036-13,Burton,Malamud,18/01/2145,Brazil,6,Thatchwork Cottage,BM856,Trade paperback,ESP,05/12/2186,469,20,12.5,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,195,Fiction,,,,,,,4.210451977,708,708
BB194,03/01/2193,989-28-79-68089-3,0.05,107021-54-4671,107021-100,Arthur,McCrumb,13/03/2148,New Zealand,3,Ballinby Boys,AM329,Hardcover,ESP,18/05/2179,401,10,21.5,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,1,12,328,SciFi/Fantasy,,,What? Disaster. Where? The stars. When? Now. Who? The Ballinby Boys. How? You'll have to turn the page to find out…,,,,3.740395809,859,859
TM925,03/01/2193,989-28-79-13801-1,,107021-9-1363,107021-100,Bianca,Thompson,28/01/2150,United States,5,The Mallemaroking,BT132,Mass market paperback,ESP,19/07/2185,672,71,8.99,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,2,12,1243,SciFi/Fantasy,MM-ESP,1,"An epic on the scale of Game of Thrones and The Lord of the Rings. The Mallemaroking is a book that cannot be defined, only experienced.",The Mallemaroking Saga,3,32,4.659652814,1901,1901
WG715,03/01/2193,989-28-229-6632-6,0.1,107021-84-6083,107021-101,Lynne,Danticat,19/08/2155,New Zealand,8,Whither Thou Goest,LD375,Mass market paperback,SSC,14/02/2183,423,16,9.5,Sound & Seas Co.,Dunedin,Otago,New Zealand,2153,151000,,12,510,Romance,EL-SSC,3,Book Three of Esme's Ladies,Esme's Ladies,7,15,4.144130758,1346,1346
CH391,03/01/2193,989-28-3705-492-6,,107021-60-9776,107021-101,Charles,Fenimore,18/03/2120,Norway,7,Can I Be Honest?,CF829,Trade paperback,CHP,24/04/2188,404,7,11.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,,12,97,Young Adult,,,,,,,4.372400756,529,529
HP265,03/01/2193,989-28-3705-966-2,,107021-80-9209,107021-47,Malin,Wolff,31/01/2141,Hong Kong,6,Heliotrope Pajamas,MW974,Paperback,CHP,02/05/2186,31,25,10.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,909,Childrens,,,"Wilberforce isn't sure about bedtime in a new bed, in a new house, in a new town. But when his grandmother brings him a pair of heliotrope pajamas, Wilberforce finds out bedtime can be downright magical.",,,,4.543650794,1764,1764
BR858,03/01/2193,989-28-3705-649-4,,107021-17-972,107021-48,Malin,Wolff,31/01/2141,Hong Kong,6,Banana Slug and the Mossy Rock,MW974,Board book,CHP,10/07/2187,11,10,6.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,,12,109,Childrens,BS-CHP,3,Come play on a rainy day! Bad weather can't stop Banana Slug!,Banana Slug,5,24,4.030898876,1068,1068
AD222,03/01/2193,989-28-3705-987-7,,107021-98-7436,107021-49,Bernard,Hopf,27/11/2122,United States,1,Alanna Saves the Day,BH149,Trade paperback,CHP,22/09/2185,188,10,8.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,384,Childrens,,,"Alanna didn't expect this Tuesday to be any different than the Tuesday before, and the Tuesday before that. She was wrong. Can she make it to Wednesday?",,,,4.018008475,944,944
HP265,03/01/2193,989-28-3705-007-2,,107021-8-8324,107021-50,Malin,Wolff,31/01/2141,Hong Kong,6,Heliotrope Pajamas,MW974,Board book,CHP,03/06/2188,16,55,5.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,909,Childrens,,,"Wilberforce isn't sure about bedtime in a new bed, in a new house, in a new town. But when his grandmother brings him a pair of heliotrope pajamas, Wilberforce finds out bedtime can be downright magical.",,,,4.543650794,1764,1764
HP265,03/01/2193,989-28-3705-007-2,,107021-18-9238,107021-51,Malin,Wolff,31/01/2141,Hong Kong,6,Heliotrope Pajamas,MW974,Board book,CHP,03/06/2188,16,55,5.99,Cedar House Publishers,Friday Harbor,Washington,USA,2086,72000,1,12,909,Childrens,,,"Wilberforce isn't sure about bedtime in a new bed, in a new house, in a new town. But when his grandmother brings him a pair of heliotrope pajamas, Wilberforce finds out bedtime can be downright magical.",,,,4.543650794,1764,1764
SS361,03/01/2193,989-28-79-45675-7,,107021-4-4945,107021-52,Lori,Kaan,27/03/2147,China,6,Some Eggs or Something?,LK915,Trade paperback,ESP,03/07/2181,105,20,12.5,Etaoin Shrdlu Press,Seattle,Washington,USA,2069,2320000,,12,246,Fiction,,,,,,,3.894206549,794,794
